Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	Кулька номер 6	переможців які вгадали 3 кульки	приз за 3 кульки	переможців які вгадали 4 кульки	приз за 4 кульки	переможців які вгадали 5 кульок	приз за 5 кульок	переможців які вгадали 6 кульок	приз за 6 кульок
917	2010-01-20	А	3	5	14	47	3	32	42	4014	12	246	141	10	2435	0	6000000
916	2010-01-16	А	3	15	48	30	17	4	7	4064	12	186	197	4	6414	0	5750000
915	2010-01-13	А	2	20	4	23	11	44	1	4258	12	221	169	1	26210	0	5500000
914	2010-01-09	Б	2	35	42	17	31	14	36	3110	12	132	237	0	0	0	5300000
913	2010-01-06	Б	2	15	29	48	3	11	1	4273	12	216	167	2	12662	0	5150000
912	2010-01-02	Б	4	19	51	22	45	7	35	3223	12	195	133	1	18250	0	5000000
911	2009-12-30	Б	2	44	38	48	52	11	42	4095	12	168	255	3	10022	0	4800000
910	2009-12-26	А	3	32	14	34	24	50	22	3924	12	230	157	10	2533	0	4600000
909	2009-12-23	А	1	51	37	16	29	5	41	3480	12	173	191	3	7714	0	4400000
908	2009-12-19	Б	3	32	18	52	16	30	31	3463	12	145	229	3	7749	0	4200000
907	2009-12-16	Б	2	36	8	37	35	23	50	2872	12	123	273	1	23557	0	4000000
906	2009-12-12	А	4	34	36	26	13	23	44	3936	12	264	135	5	4992	0	3800000
905	2009-12-09	А	2	2	48	33	44	29	23	3885	12	188	184	1	24277	0	3600000
904	2009-12-05	Б	4	37	50	16	6	19	42	3640	12	195	184	0	0	0	3400000
903	2009-12-02	А	2	6	45	35	17	14	27	3907	12	231	143	6	3858	0	3200000
902	2009-11-28	А	4	21	31	30	14	40	6	4288	12	234	147	11	2200	0	3000000
901	2009-11-25	А	2	50	19	32	46	3	12	4244	12	210	188	7	3960	2	7000000
900	2009-11-21	А	4	38	27	46	50	10	45	4296	12	221	183	2	14231	0	6750000
899	2009-11-18	Б	4	15	50	34	51	20	18	3658	12	148	263	2	13632	0	6500000
898	2009-11-14	Б	2	20	7	28	51	33	29	4878	12	257	149	2	13491	0	6250000
897	2009-11-11	А	1	36	20	25	5	21	43	3944	12	182	209	6	4442	0	6000000
896	2009-11-07	А	4	33	43	45	4	52	5	3612	12	149	246	5	5146	0	5750000
895	2009-11-04	Б	2	17	52	44	6	45	32	3427	12	168	199	1	23415	0	5500000
894	2009-10-31	Б	3	32	52	22	49	42	21	3696	12	227	154	2	12257	0	5250000
893	2009-10-28	Б	1	26	38	19	1	13	18	4548	12	232	153	10	2494	0	5000000
892	2009-10-24	Б	4	32	34	20	17	31	38	4544	12	264	136	8	3149	0	4800000
891	2009-10-21	Б	1	13	35	18	37	36	33	3325	12	164	217	4	6236	0	4600000
890	2009-10-17	А	1	35	42	50	31	6	22	3580	12	189	193	2	12804	0	4400000
889	2009-10-14	А	1	27	13	45	10	38	18	4673	12	259	133	11	2196	0	4200000
888	2009-10-10	А	1	31	14	44	21	33	4	5394	12	342	102	7	3501	0	4000000
887	2009-10-07	А	3	28	8	51	38	21	9	4513	12	235	144	2	11870	0	3800000
886	2009-10-03	А	4	28	5	11	43	49	15	3860	12	200	177	4	6227	0	3600000
885	2009-09-30	Б	2	31	42	9	10	35	20	3791	12	184	185	3	7958	0	3400000
884	2009-09-26	Б	3	11	27	38	33	39	5	4044	12	200	180	5	5051	0	3200000
883	2009-09-23	Б	3	52	33	16	51	39	41	3779	12	190	197	2	13126	0	3000000
882	2009-09-19	А	2	33	48	7	10	43	42	5408	12	240	229	1	1000000	0	4000000
881	2009-09-16	Б	1	9	5	32	22	8	17	5298	12	284	116	4	5813	0	3800000
880	2009-09-12	А	3	15	48	29	12	30	24	3678	12	223	158	3	8267	0	3600000
879	2009-09-09	А	3	26	31	46	9	18	20	4834	12	267	139	2	12992	0	3400000
878	2009-09-05	А	3	1	5	16	11	41	42	3478	12	188	181	4	5985	0	3200000
877	2009-09-02	Б	1	16	42	13	22	24	48	3220	12	148	228	3	7880	0	3000000
876	2009-08-29	А	2	19	15	43	5	28	31	4743	12	255	139	8	3108	1	4250000
