Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	Кулька номер 6	бонусна кулька	переможців 6х6 по ставці 3 грн	переможців 6х6 по ставці 2 грн	переможців 6х6 по ставці 1 грн	переможців 5х6+1 по ставці 3 грн	переможців 5х6+1 по ставці 2 грн	переможців 5х6+1 по ставці 1 грн	переможців 5х6 по ставці 3 грн	переможців 5х6 по ставці 2 грн	переможців 5х6 по ставці 1 грн	переможців 4х6 по ставці 3 грн	переможців 4х6 по ставці 2 грн	переможців 4х6 по ставці 1 грн	переможців 3х6 по ставці 3 грн	переможців 3х6 по ставці 2 грн	переможців 3х6 по ставці 1 грн	Виграш 6х6 по ставці 3 грн	Виграш 6х6 по ставці 2 грн	Виграш 6х6 по ставці 1 грн	Виграш 5х6+1 по ставці 3 грн	Виграш 5х6+1 по ставці 2 грн	Виграш 5х6+1 по ставці 1 грн	Виграш 5х6 по ставці 3 грн	Виграш 5х6 по ставці 2 грн	Виграш 5х6 по ставці 1 грн	Виграш 4х6 по ставці 3 грн	Виграш 4х6 по ставці 2 грн	Виграш 4х6 по ставці 1 грн	Виграш 3х6 по ставці 3 грн	Виграш 3х6 по ставці 2 грн	Виграш 3х6 по ставці 1 грн
796	2008-11-22	Б	2	16	18	5	40	35	38	36	0	0	0	0	0	0	3	1	9	292	47	492	6328	1260	11442	26600000	13300000	6650000	300000	200000	100000	1500000	1000000	500000	75	50	25	15	10	5
795	2008-11-19	А	4	18	46	14	34	27	23	45	0	0	0	0	0	0	4	0	6	152	41	301	3311	646	5384	26550000	13275000	6637500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
794	2008-11-15	Б	3	18	6	30	10	47	11	44	0	0	0	0	0	0	3	0	5	131	30	274	2790	789	5139	26500000	13250000	6625000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
793	2008-11-12	Б	2	36	13	23	27	5	17	52	0	0	0	0	0	0	3	1	2	208	49	257	3626	800	5609	26450000	13225000	6612500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
792	2008-11-08	А	3	51	16	6	36	8	24	29	0	0	0	0	0	0	1	3	3	158	43	265	3239	668	5479	26400000	13200000	6600000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
791	2008-11-05	А	3	54	2	4	42	15	23	12	0	0	0	0	0	0	1	3	4	187	43	263	2564	600	3976	26350000	13175000	6587500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
790	2008-11-01	Б	4	54	17	52	31	38	39	49	0	0	0	0	0	0	0	0	0	98	19	173	2496	577	3827	26300000	13150000	6575000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
789	2008-10-29	Б	1	41	6	13	38	7	29	46	0	0	0	0	0	0	6	0	2	144	26	277	3195	644	5325	26250000	13125000	6562500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
788	2008-10-25	А	3	31	39	37	1	49	9	12	0	0	0	0	0	0	1	1	3	148	20	208	3108	596	4522	26200000	13100000	6550000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
787	2008-10-22	Б	4	15	21	11	40	28	9	14	0	0	0	0	0	0	3	2	2	211	30	300	4038	758	5833	26150000	13075000	6537500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
786	2008-10-18	А	2	36	6	16	31	13	22	50	0	0	0	0	0	0	3	0	7	165	35	276	3366	593	4457	26100000	13050000	6525000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
785	2008-10-15	Б	3	13	39	26	44	35	50	53	0	0	0	0	0	0	4	0	2	178	33	186	3228	666	4194	26050000	13025000	6512500	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
784	2008-10-11	А	4	22	45	18	50	31	39	12	0	0	0	0	0	0	0	0	0	153	38	203	3067	611	4431	26000000	13000000	6500000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
783	2008-10-08	А	2	6	32	40	27	4	33	48	0	0	0	0	0	0	1	1	4	146	34	177	3252	565	4858	25900000	12950000	6475000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
782	2008-10-04	А	4	13	31	54	14	26	41	30	0	0	0	0	0	0	6	0	7	136	23	177	2762	575	4085	25800000	12900000	6450000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
781	2008-10-01	Б	4	6	28	29	1	30	40	23	0	0	0	0	0	1	0	0	5	129	24	213	2632	562	4345	25700000	12850000	6425000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
780	2008-09-27	Б	1	49	50	14	32	31	36	12	0	0	0	0	0	0	1	0	6	91	22	203	2566	517	4149	25600000	12800000	6400000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
779	2008-09-24	А	3	2	7	3	10	6	46	37	0	0	0	0	0	0	8	2	1	187	28	168	3434	641	4379	25500000	12750000	6375000	300000	200000	100000	3000	2000	1000	75	50	25	15	10	5
